Method,NSR,LPIPS,FID,NIQE
input,0.00%,0.000,0.00,9.27
LLNet,40.29%,0.649,52.46,5.83
LightenNet,57.67%,0.732,85.19,7.26
Retinex-Net,48.19%,0.681,58.63,6.37
MBLLEN,49.49%,0.589,47.31,5.51
KinD,60.18%,0.279,41.63,4.96
KinD++,67.22%,0.376,43.28,5.13
TBEFN,73.82%,0.658,39.74,4.72
DSLR,57.28%,0.274,55.82,6.09
EnlightenGAN,49.46%,0.317,49.63,5.67
DRBN,39.21%,0.475,62.14,6.58
ExCNet,63.59%,0.367,57.39,6.24
Zero-DCE,73.25%,0.478,52.76,5.89
RRDNet,52.18%,0.397,75.48,7.51
SCI~,71.24%,0.385,48.92,4.89
SNR-Net~,74.16%,0.263,46.27,4.61
Retinexformer~,76.83%,0.244,41.58,4.13
PGDB-GAN (ours),86.41%,0.206,25.69,3.42
