Method,PSNR (dB),SSIM,NSR,LPIPS,MSE,FID,NIQE
input,17.824,0.779,37.11%,0.148,1.673,76.34,6.28
LLNet,12.177,0.645,45.72%,0.292,4.468,92.57,7.63
LightenNet,13.579,0.744,38.87%,0.166,4.127,68.92,5.91
Retinex-Net,17.310,0.671,43.76%,0.239,4.406,72.43,6.15
MBLLEN,19.781,0.825,42.09%,0.108,1.296,43.18,4.76
KinD,14.535,0.741,58.05%,0.177,2.673,56.72,5.34
KinD++,9.732,0.568,62.49%,0.336,7.582,89.61,7.38
TBEFN,12.769,0.704,71.02%,0.178,3.865,51.37,5.02
DSLR,16.632,0.782,59.27%,0.167,1.923,47.89,4.85
EnlightenGAN,13.260,0.745,51.24%,0.170,3.628,59.43,5.47
DRBN,13.355,0.378,36.93%,0.281,3.314,85.16,7.12
ExCNet,13.978,0.710,66.21%,0.187,2.927,53.68,5.19
Zero-DCE,13.199,0.709,79.94%,0.203,3.476,49.52,4.93
RRDNet,10.135,0.620,62.61%,0.303,7.057,82.74,6.95
SCI~,15.241,0.753,44.82%,0.154,2.184,62.39,5.23
SNR-Net~,20.843,0.867,64.19%,0.126,1.342,38.16,4.29
Retinexformer~,21.327,0.884,67.51%,0.123,1.318,35.42,4.02
PGDB-GAN (ours),22.946,0.921,82.53%,0.117,1.263,28.45,3.67
