Method,PSNR (dB),SSIM,NSR,LPIPS,MSE,FID,NIQE
input,7.773,0.181,19.41%,0.562,12.613,128.54,8.72
LLNet,12.431,0.452,28.64%,0.423,5.214,98.41,7.43
LightenNet,13.824,0.513,32.41%,0.394,4.682,87.26,6.82
Retinex-Net,16.712,0.564,41.28%,0.377,3.891,76.43,5.93
MBLLEN,22.427,0.793,56.19%,0.218,2.143,45.32,4.61
KinD,20.863,0.784,52.74%,0.231,2.417,49.18,4.82
KinD++,21.314,0.812,55.83%,0.207,2.231,43.26,4.48
TBEFN,18.342,0.723,47.61%,0.294,3.127,62.14,5.19
DSLR,22.153,0.804,58.27%,0.214,2.184,44.82,4.57
EnlightenGAN,17.426,0.652,43.81%,0.324,3.562,71.34,5.38
DRBN,20.134,0.761,50.24%,0.247,2.583,52.41,4.97
ExCNet,15.241,0.543,36.82%,0.381,4.192,81.63,6.14
Zero-DCE,14.863,0.562,39.43%,0.364,4.317,79.24,5.87
RRDNet,13.124,0.492,31.17%,0.412,4.953,91.38,6.64
SCI~,21.562,0.782,54.39%,0.224,2.296,47.13,4.73
SNR-Net~,24.610,0.842,65.18%,0.192,1.734,36.42,4.12
Retinexformer~,25.160,0.845,68.34%,0.187,1.542,33.14,3.86
PGDB-GAN (ours),29.670,0.941,82.31%,0.173,1.068,22.37,3.18
